"","state","snfs_num","partnered_cvs","partnered_walgreen","snfs_cvs_pct","snfs_walgreen_pct","partnered_pct","cvs_num","wal_num","cvs_snf_ratio","wal_snf_ratio"
"1","AK",20,2,1,0.1,0.05,0.15,4,11,0.2,0.55
"2","AL",228,101,59,0.443,0.259,0.702,181,151,0.793859649122807,0.662280701754386
"3","AR",227,19,50,0.084,0.22,0.304,23,79,0.101321585903084,0.348017621145374
"4","AZ",139,96,60,0.691,0.432,1.123,199,232,1.43165467625899,1.66906474820144
"5","CA",1187,499,323,0.42,0.272,0.692,1183,583,0.996630160067397,0.491154170176917
"6","CO",223,30,97,0.135,0.435,0.57,51,168,0.228699551569507,0.753363228699552
"7","CT",204,119,33,0.583,0.162,0.745,179,116,0.877450980392157,0.568627450980392
"8","DC",14,10,3,0.714,0.214,0.928,62,13,4.42857142857143,0.928571428571429
"9","DE",45,32,16,0.711,0.356,1.067,20,62,0.444444444444444,1.37777777777778
"10","FL",688,484,190,0.703,0.276,0.979,860,809,1.25,1.17587209302326
"11","GA",280,254,82,0.907,0.293,1.2,350,269,1.25,0.960714285714286
"12","HI",44,28,18,0.636,0.409,1.045,72,15,1.63636363636364,0.340909090909091
"13","IA",432,221,187,0.512,0.433,0.945,39,72,0.0902777777777778,0.166666666666667
"14","ID",72,18,60,0.25,0.833,1.083,3,38,0.0416666666666667,0.527777777777778
"15","IL",722,301,270,0.417,0.374,0.791,391,568,0.541551246537396,0.786703601108033
"16","IN",531,319,107,0.601,0.202,0.803,338,187,0.63653483992467,0.352165725047081
"17","KS",330,136,161,0.412,0.488,0.9,54,70,0.163636363636364,0.212121212121212
"18","KY",273,129,129,0.473,0.473,0.946,80,170,0.293040293040293,0.622710622710623
"19","LA",277,130,144,0.469,0.52,0.989,135,170,0.487364620938628,0.613718411552347
"20","MA",356,281,98,0.789,0.275,1.064,417,250,1.17134831460674,0.702247191011236
"21","MD",202,150,90,0.743,0.446,1.189,228,154,1.12871287128713,0.762376237623762
"22","ME",93,38,39,0.409,0.419,0.828,25,78,0.268817204301075,0.838709677419355
"23","MI",442,269,145,0.609,0.328,0.937,300,232,0.678733031674208,0.524886877828054
"24","MN",363,120,104,0.331,0.287,0.618,132,149,0.363636363636364,0.410468319559229
"25","MO",520,277,204,0.533,0.392,0.925,209,207,0.401923076923077,0.398076923076923
"26","MS",203,103,99,0.507,0.488,0.995,57,82,0.280788177339901,0.403940886699507
"27","MT",69,27,27,0.391,0.391,0.782,15,13,0.217391304347826,0.188405797101449
"28","NC",424,231,184,0.545,0.434,0.979,370,355,0.872641509433962,0.837264150943396
"29","ND",80,19,0,0.238,0,0.238,6,0,0.075,0
"30","NE",197,30,78,0.152,0.396,0.548,30,56,0.152284263959391,0.284263959390863
"31","NH",74,56,22,0.757,0.297,1.054,47,35,0.635135135135135,0.472972972972973
"32","NJ",361,277,92,0.767,0.255,1.022,351,276,0.972299168975069,0.764542936288089
"33","NM",71,40,29,0.563,0.408,0.971,25,70,0.352112676056338,0.985915492957746
"34","NV",66,32,29,0.485,0.439,0.924,96,80,1.45454545454545,1.21212121212121
"35","NY",570,252,247,0.442,0.433,0.875,568,431,0.996491228070175,0.756140350877193
"36","OH",952,488,374,0.513,0.393,0.906,388,243,0.407563025210084,0.255252100840336
"37","OK",290,60,209,0.207,0.721,0.928,77,116,0.26551724137931,0.4
"38","OR",116,44,65,0.379,0.56,0.939,25,74,0.21551724137931,0.637931034482759
"39","PA",684,510,94,0.746,0.137,0.883,482,115,0.7046783625731,0.16812865497076
"40","RI",80,47,35,0.588,0.438,1.026,65,46,0.8125,0.575
"41","SC",184,113,64,0.614,0.348,0.962,213,150,1.15760869565217,0.815217391304348
"42","SD",104,10,56,0.096,0.538,0.634,3,14,0.0288461538461538,0.134615384615385
"43","TN",316,92,186,0.291,0.589,0.88,162,271,0.512658227848101,0.857594936708861
"44","TX",1214,581,484,0.479,0.399,0.878,851,703,0.700988467874794,0.579077429983526
"45","UT",99,43,43,0.434,0.434,0.868,30,56,0.303030303030303,0.565656565656566
"46","VA",245,195,90,0.796,0.367,1.163,353,203,1.44081632653061,0.828571428571429
"47","VT",35,16,11,0.457,0.314,0.771,9,32,0.257142857142857,0.914285714285714
"48","WA",205,112,87,0.546,0.424,0.97,46,134,0.224390243902439,0.653658536585366
"49","WI",353,156,200,0.442,0.567,1.009,83,225,0.235127478753541,0.637393767705382
"50","WV",123,NA,NA,NA,NA,NA,57,94,0.463414634146341,0.764227642276423
"51","WY",37,9,14,0.243,0.378,0.621,2,11,0.0540540540540541,0.297297297297297
